distillery_name,profile,brand_name,list_link,detail_link,title_tag,count,title_stat,stat
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,peat,27,Likes,7
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,vanilla,26,Average score,86.7
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,vanilla,26,Ratings,466
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,vanilla,26,Reviews,183
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,vanilla,26,Likes,7
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,salt,24,Average score,86.7
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,salt,24,Ratings,466
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,salt,24,Reviews,183
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,salt,24,Likes,7
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,brine,23,Average score,86.7
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,brine,23,Ratings,466
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,brine,23,Reviews,183
Springbank,Campbeltown Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/springbank-scotch-whisky,brine,23,Likes,7
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,sherry,60,Average score,86.5
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,sherry,60,Ratings,599
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,sherry,60,Reviews,197
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,sherry,60,Likes,9
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,oak,28,Average score,86.5
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,oak,28,Ratings,599
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,oak,28,Reviews,197
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,oak,28,Likes,9
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,vanilla,25,Average score,86.5
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,vanilla,25,Ratings,599
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,vanilla,25,Reviews,197
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,vanilla,25,Likes,9
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,caramel,23,Average score,86.5
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,caramel,23,Ratings,599
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,caramel,23,Reviews,197
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,caramel,23,Likes,9
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,chocolate,22,Average score,86.5
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,chocolate,22,Ratings,599
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,chocolate,22,Reviews,197
Glenfarclas,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glenfarclas-scotch-whisky,chocolate,22,Likes,9
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,honey,54,Average score,85.7
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,honey,54,Ratings,989
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,honey,54,Reviews,310
Highland Park,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/highland-park-scotch-whisky,honey,54,Likes,8
